epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,407.01,1.89259,2.37008,1.8866,0.34359,0.31385,0.23812,0.07846,2.33021,2.60937,2.36407,0.00065812,0.00065812,0.00065812
2,776.334,1.8189,1.99836,1.79478,0.44453,0.35569,0.3335,0.12567,2.31348,2.33776,2.31109,0.00129856,0.00129856,0.00129856
3,1142.81,1.84985,1.94536,1.85991,0.3739,0.36179,0.29627,0.09939,2.34624,2.38689,2.42997,0.00191259,0.00191259,0.00191259
4,1512.08,1.80796,1.93461,1.87487,0.45289,0.3651,0.34092,0.10914,2.32856,2.91475,2.40177,0.0018812,0.0018812,0.0018812
5,1889.5,1.83766,1.86013,1.8674,0.44533,0.36718,0.34622,0.11627,2.30478,2.60003,2.22768,0.0018416,0.0018416,0.0018416
6,2372.58,1.79362,1.8278,1.83099,0.49944,0.39634,0.41583,0.14053,2.29108,2.10593,2.29326,0.001802,0.001802,0.001802
7,2822.85,1.75467,1.73878,1.79948,0.53251,0.39837,0.39333,0.14749,2.20761,2.10295,2.1696,0.0017624,0.0017624,0.0017624
8,3540.13,1.73473,1.71534,1.77794,0.56037,0.44043,0.47518,0.17135,2.27307,2.01988,2.19753,0.0017228,0.0017228,0.0017228
9,4261.56,1.7147,1.67453,1.78203,0.61627,0.42276,0.47703,0.18229,2.23937,1.87222,2.25339,0.0016832,0.0016832,0.0016832
10,4732.29,1.69095,1.6217,1.75574,0.6067,0.46341,0.50031,0.18049,2.28401,1.82328,2.2328,0.0016436,0.0016436,0.0016436
11,5259.19,1.6908,1.57012,1.73522,0.63695,0.45288,0.4992,0.17893,2.23785,1.81468,2.16154,0.001604,0.001604,0.001604
12,5789.84,1.68368,1.5892,1.73803,0.60832,0.44106,0.464,0.15665,2.32131,1.92346,2.27435,0.0015644,0.0015644,0.0015644
13,6260.25,1.66057,1.61057,1.73521,0.53184,0.4872,0.48998,0.18149,2.22624,1.82475,2.16841,0.0015248,0.0015248,0.0015248
14,6751.48,1.66158,1.54655,1.72558,0.57547,0.50813,0.50451,0.18115,2.20268,2.03826,2.22955,0.0014852,0.0014852,0.0014852
15,7415.28,1.64084,1.53112,1.71449,0.55983,0.50203,0.49148,0.18412,2.1927,1.76585,2.1909,0.0014456,0.0014456,0.0014456
