epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,10738.3,1.53448,1.36161,1.63707,0.60521,0.48577,0.50235,0.1848,2.26871,1.7602,2.31689,0.0010892,0.0010892,0.0010892
25,11209.9,1.5404,1.28698,1.64075,0.57924,0.59756,0.57432,0.22631,2.16178,1.58479,2.1139,0.0010496,0.0010496,0.0010496
26,11735.8,1.50651,1.293,1.61088,0.65305,0.48984,0.54589,0.21318,2.21504,1.66665,2.17502,0.00101,0.00101,0.00101
27,12248.1,1.52357,1.27615,1.61707,0.62975,0.56351,0.57927,0.23183,2.17466,1.60931,2.15412,0.0009704,0.0009704,0.0009704
28,12683.9,1.5132,1.27476,1.61322,0.5709,0.50813,0.51697,0.19965,2.25491,1.67429,2.22329,0.0009308,0.0009308,0.0009308
29,13269.1,1.49934,1.25986,1.59878,0.64421,0.50813,0.55281,0.21511,2.19931,1.72947,2.17403,0.0008912,0.0008912,0.0008912
30,13750.8,1.48013,1.21945,1.5843,0.60476,0.56301,0.56744,0.22824,2.20746,1.60644,2.18966,0.0008516,0.0008516,0.0008516
31,14261.9,1.46099,1.19859,1.56648,0.58114,0.53049,0.50666,0.19476,2.23773,1.66918,2.23975,0.000812,0.000812,0.000812
32,14724.9,1.44366,1.18706,1.56031,0.58173,0.58798,0.5776,0.22906,2.21733,1.52134,2.19552,0.0007724,0.0007724,0.0007724
33,15173.3,1.44109,1.17846,1.55097,0.62694,0.54065,0.55947,0.22092,2.23781,1.58437,2.25732,0.0007328,0.0007328,0.0007328
34,15601.2,1.4286,1.15875,1.54753,0.59086,0.52541,0.53949,0.20326,2.29434,1.59594,2.28971,0.0006932,0.0006932,0.0006932
35,16023.4,1.42382,1.12111,1.53977,0.63638,0.54675,0.55217,0.22222,2.23526,1.62468,2.2537,0.0006536,0.0006536,0.0006536
36,16454.1,1.40459,1.12451,1.53503,0.61954,0.54878,0.56266,0.21507,2.24353,1.60121,2.21814,0.000614,0.000614,0.000614
37,16972.9,1.39506,1.10507,1.53102,0.63713,0.54244,0.57247,0.22896,2.22409,1.55111,2.22472,0.0005744,0.0005744,0.0005744
38,17413.2,1.39545,1.11431,1.52497,0.66456,0.50813,0.57297,0.23132,2.1898,1.5517,2.18631,0.0005348,0.0005348,0.0005348
39,17859.6,1.36435,1.06198,1.49358,0.61647,0.56098,0.55284,0.21633,2.264,1.57548,2.24313,0.0004952,0.0004952,0.0004952
40,18299,1.36475,1.04291,1.49046,0.61938,0.49944,0.53222,0.21831,2.24544,1.61249,2.2577,0.0004556,0.0004556,0.0004556
41,18739.3,1.37819,0.97533,1.56232,0.56194,0.52236,0.53072,0.20548,2.23996,1.62733,2.24376,0.000416,0.000416,0.000416
42,19138.2,1.3399,0.92312,1.52576,0.63311,0.53455,0.53941,0.20936,2.2449,1.6339,2.23071,0.0003764,0.0003764,0.0003764
43,19564.8,1.32838,0.88702,1.51091,0.6514,0.53659,0.54528,0.20254,2.29479,1.6226,2.32846,0.0003368,0.0003368,0.0003368
44,19952.1,1.30231,0.84745,1.5025,0.61175,0.54675,0.55376,0.21856,2.22544,1.59037,2.258,0.0002972,0.0002972,0.0002972
45,20337.4,1.28439,0.84751,1.48691,0.60519,0.53277,0.53823,0.21164,2.29952,1.62989,2.3284,0.0002576,0.0002576,0.0002576
46,20716.8,1.25625,0.82165,1.46419,0.60908,0.52569,0.52763,0.21161,2.29609,1.64965,2.33656,0.000218,0.000218,0.000218
47,21120.3,1.23469,0.80879,1.45822,0.64171,0.52642,0.54737,0.21806,2.25872,1.59964,2.28889,0.0001784,0.0001784,0.0001784
48,21529.9,1.22118,0.79161,1.44032,0.67311,0.51061,0.55572,0.21952,2.26768,1.58264,2.31585,0.0001388,0.0001388,0.0001388
49,21924.3,1.20898,0.78349,1.43391,0.58046,0.55691,0.54929,0.21935,2.26627,1.57251,2.32097,9.92e-05,9.92e-05,9.92e-05
50,22349.4,1.20236,0.76576,1.42091,0.65871,0.51783,0.55106,0.2157,2.26377,1.58169,2.32722,5.96e-05,5.96e-05,5.96e-05
